Code,Cost
0001A ,$40.00 
0002A ,$40.00 
0011A ,$40.00 
0012A ,$40.00 
0021A ,$40.00 
0022A ,$40.00 
0031A ,$40.00 
0042T ,$954.00 
0054T ,$640.00 
0055T ,"$1,188.00 "
0071T ,"$2,500.00 "
26 ,"$2,208.00 "
0126T ,$55.00 
26 ,$314.00 
0184T ,"$2,315.00 "
0191T ,"$2,396.00 "
01967 ,"$2,500.00 "
01996 ,$285.00 
0200T ,"$5,106.00 "
0201T ,"$9,446.00 "
0232T ,"$1,509.00 "
0234T ,"$2,012.00 "
0237T ,"$1,868.00 "
0238T ,"$1,877.00 "
0253T ,"$2,584.00 "
0254T ,"$3,412.00 "
0275T ,"$1,459.00 "
0281T ,"$3,574.00 "
0296T ,$135.00 
0298T ,$140.00 
0346T ,$276.00 
0375T ,"$8,709.00 "
0376T ,"$2,568.00 "
0379T ,$109.00 
0387T ,"$1,124.00 "
0389T ,$115.00 
26 ,$115.00 
0391T ,$87.00 
0397T ,"$1,002.00 "
0398T ,"$15,604.0"
0399T ,$513.00 
26 ,$513.00 
0438T ,$764.00 
0442T ,$450.00 
0449T ,"$2,222.00 "
0466T ,"$1,235.00 "
0474T ,"$3,333.00 "
26 ,$179.00 
0483T ,"$5,681.00 "
0484T ,"$8,059.00 "
0494T ,$812.00 
0495T ,"$7,000.00 "
0496T ,"$3,500.00 "
0497T ,$24.00 
0498T ,$65.00 
0499T ,"$1,024.00 "
0504T ,$443.00 
26 ,$16.00 
0514T ,$184.00 
0537T ,$220.00 
0540T ,$500.00 
0545T ,"$7,329.00 "
0569T ,"$5,396.00 "
0570T ,"$1,242.00 "
26 ,$635.00 
0571T ,"$1,581.00 "
0572T ,"$1,258.00 "
0573T ,"$1,058.00 "
0574T ,"$1,039.00 "
0581T ,$763.00 
0584T ,"$5,361.00 "
0585T ,"$2,451.00 "
0586T ,"$4,045.00 "
0589T ,$129.00 
0590T ,$300.00 
0600T ,"$2,386.00 "
10004 ,$135.00 
10005 ,$342.00 
10006 ,$155.00 
10007 ,$729.00 
10008 ,$411.00 
10009 ,"$1,193.00 "
10010 ,$719.00 
10011 ,"$1,193.00 "
10012 ,$719.00 
10021 ,$357.00 
10022 ,$328.00 
10030 ,"$1,938.00 "
10035 ,"$1,359.00 "
10040 ,$276.82 
10060 ,$321.00 
10061 ,$556.00 
10080 ,$558.00 
10081 ,$808.00 
10120 ,$402.00 
10121 ,$723.00 
10140 ,$452.00 
10160 ,$346.00 
10180 ,$680.00 
11000 ,$150.00 
11001 ,$63.00 
11004 ,"$1,554.00 "
11005 ,"$2,810.00 "
11006 ,"$2,540.00 "
11008 ,$745.00 
11010 ,"$1,412.00 "
11011 ,"$1,676.00 "
11012 ,"$2,446.00 "
11042 ,$395.00 
11043 ,$619.00 
11044 ,$981.00 
11045 ,$111.00 
11046 ,$198.00 
11047 ,$329.00 
11055 ,$166.00 
11056 ,$187.09 
11057 ,$226.00 
11100 ,$239.00 
11101 ,$74.00 
11102 ,$265.00 
11103 ,$141.00 
11104 ,$333.00 
11105 ,$161.00 
11106 ,$403.00 
11107 ,$190.00 
11200 ,$235.00 
11201 ,$56.00 
11300 ,$265.00 
11301 ,$322.00 
11302 ,$372.00 
11303 ,$409.00 
11305 ,$279.00 
11306 ,$326.00 
11307 ,$381.00 
11308 ,$407.00 
11310 ,$307.00 
11311 ,$364.00 
11312 ,$420.00 
11313 ,$468.68 
11400 ,$333.00 
11401 ,$406.00 
11402 ,$450.00 
11403 ,$520.00 
11404 ,$591.00 
11406 ,$845.00 
11420 ,$336.00 
11421 ,$423.00 
11422 ,$476.00 
11423 ,$541.00 
11424 ,$625.00 
11426 ,$897.00 
11440 ,$370.00 
11441 ,$455.00 
11442 ,$506.00 
11443 ,$601.00 
11444 ,"$1,086.00 "
11446 ,"$1,038.00 "
11450 ,"$1,037.59 "
11451 ,"$1,292.45 "
11462 ,"$1,009.91 "
11463 ,"$1,315.36 "
